"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"HINDUNILVR","EQ","13-Sep-2019","       1805.40","       1806.00","       1825.00","       1793.60","       1804.00","       1805.55","       1810.25","    1299932","          2353204627.60","      59408","     710384","         54.65"
"HINDUNILVR","EQ","16-Sep-2019","       1805.55","       1801.00","       1824.75","       1800.00","       1810.35","       1816.30","       1816.87","     945889","          1718562013.70","      56658","     549092","         58.05"
"HINDUNILVR","EQ","17-Sep-2019","       1816.30","       1814.75","       1842.00","       1812.00","       1834.00","       1831.20","       1830.88","    1424258","          2607648961.85","      67192","     853530","         59.93"
"HINDUNILVR","EQ","18-Sep-2019","       1831.20","       1839.50","       1843.95","       1818.65","       1828.25","       1829.20","       1827.69","     751391","          1373313240.80","      74042","     374298","         49.81"
"HINDUNILVR","EQ","19-Sep-2019","       1829.20","       1830.00","       1843.60","       1808.25","       1810.25","       1812.75","       1827.22","     644684","          1177979486.85","      49915","     287000","         44.52"
"HINDUNILVR","EQ","20-Sep-2019","       1812.75","       1823.00","       1992.00","       1810.25","       1973.35","       1969.75","       1925.76","    4539742","          8742466427.05","     138181","    2711657","         59.73"
"HINDUNILVR","EQ","23-Sep-2019","       1969.75","       1984.00","       2100.65","       1984.00","       2042.30","       2039.75","       2066.01","    3783357","          7816456915.70","     208764","    2221091","         58.71"
"HINDUNILVR","EQ","24-Sep-2019","       2039.75","       2045.00","       2067.90","       2009.10","       2054.00","       2050.45","       2041.07","    1784798","          3642888875.20","     101509","     988112","         55.36"
"HINDUNILVR","EQ","25-Sep-2019","       2050.45","       2041.00","       2062.45","       2011.85","       2057.00","       2051.50","       2030.00","    1874109","          3804440338.80","     120396","    1293379","         69.01"
"HINDUNILVR","EQ","26-Sep-2019","       2051.50","       2055.00","       2075.00","       2016.95","       2037.00","       2034.40","       2034.46","    3907951","          7950585819.80","     140579","    2525310","         64.62"
"HINDUNILVR","EQ","27-Sep-2019","       2034.40","       2026.00","       2044.65","       2005.50","       2010.50","       2010.90","       2017.61","    1458672","          2943028199.05","      73825","     923904","         63.34"
"HINDUNILVR","EQ","30-Sep-2019","       2010.90","       2007.90","       2017.90","       1971.40","       1984.95","       1981.95","       1991.92","    2169407","          4321276260.60","      81697","    1580224","         72.84"
"HINDUNILVR","EQ","01-Oct-2019","       1981.95","       1989.00","       2019.90","       1983.00","       1993.20","       1990.30","       1999.20","    1080409","          2159953564.35","      66962","     517399","         47.89"
"HINDUNILVR","EQ","03-Oct-2019","       1990.30","       1984.75","       1985.30","       1958.35","       1961.10","       1962.05","       1969.15","    1423468","          2803018149.30","     124100","    1039605","         73.03"
