"Symbol","Series","Date","Prev Close","Open Price","High Price","Low Price","Last Price","Close Price","Average Price","Total Traded Quantity","Turnover","No. of Trades","Deliverable Qty","% Dly Qt to Traded Qty"
"BOMDYEING","EQ","01-Sep-2017","        114.85","        116.50","        126.00","        116.05","        122.25","        122.55","        122.10","   20237141","          2470885843.90","      90080","    3814358","         18.85"
"BOMDYEING","EQ","04-Sep-2017","        122.55","        122.00","        134.80","        118.30","        134.80","        134.80","        128.72","   23168784","          2982319458.70","      95830","    3310374","         14.29"
"BOMDYEING","EQ","05-Sep-2017","        134.80","        140.90","        141.50","        134.50","        139.60","        139.45","        140.28","   22230879","          3118526452.65","      76403","    4073985","         18.33"
"BOMDYEING","EQ","06-Sep-2017","        139.45","        138.00","        146.40","        136.20","        146.40","        146.40","        144.32","    7880323","          1137276863.95","      31898","    2470010","         31.34"
"BOMDYEING","EQ","07-Sep-2017","        146.40","        150.00","        153.70","        149.70","        153.70","        153.70","        153.14","    4207051","           644260276.10","      11359","    2085024","         49.56"
"BOMDYEING","EQ","08-Sep-2017","        153.70","        158.60","        161.35","        152.65","        156.50","        156.35","        159.17","   15127134","          2407778629.90","      59493","    3724443","         24.62"
"BOMDYEING","EQ","11-Sep-2017","        156.35","        158.10","        161.00","        148.55","        148.55","        148.95","        153.32","   12778716","          1959183218.40","      55674","    3173626","         24.84"
"BOMDYEING","EQ","12-Sep-2017","        148.95","        147.90","        154.40","        144.05","        151.85","        151.85","        151.03","    5231930","           790202690.40","      27269","    1532173","         29.29"
"BOMDYEING","EQ","13-Sep-2017","        151.85","        152.20","        159.40","        151.75","        159.40","        159.10","        158.04","    8415704","          1329978869.70","      31814","    1873692","         22.26"
"BOMDYEING","EQ","14-Sep-2017","        159.10","        163.00","        167.05","        162.00","        167.05","        167.05","        165.93","    4727031","           784362980.70","      14089","    1796438","         38.00"
"BOMDYEING","EQ","15-Sep-2017","        167.05","        172.90","        175.40","        171.65","        175.40","        175.40","        175.04","    2482068","           434452959.30","       6229","    1187287","         47.83"
"BOMDYEING","EQ","18-Sep-2017","        175.40","        184.15","        184.15","        184.15","        184.15","        184.15","        184.15","     231017","            42541780.55","        920","     230994","         99.99"
"BOMDYEING","EQ","19-Sep-2017","        184.15","        193.35","        193.35","        193.35","        193.35","        193.35","        193.35","     394581","            76292236.35","        926","     393220","         99.66"
"BOMDYEING","EQ","20-Sep-2017","        193.35","        203.00","        203.00","        186.35","        203.00","        202.80","        199.11","   16423501","          3270079354.85","      70791","    4319297","         26.30"
"BOMDYEING","EQ","21-Sep-2017","        202.80","        206.00","        212.90","        201.45","        212.90","        212.90","        210.52","    7927768","          1668962025.05","      36034","    1957613","         24.69"
"BOMDYEING","EQ","22-Sep-2017","        212.90","        218.90","        221.80","        202.30","        202.30","        203.15","        212.76","   14345030","          3052109933.40","      85623","    3407740","         23.76"
"BOMDYEING","EQ","25-Sep-2017","        203.15","        198.15","        200.00","        193.00","        193.00","        193.00","        194.00","     960674","           186373683.50","       4695","     492583","         51.27"
"BOMDYEING","EQ","26-Sep-2017","        193.00","        183.35","        196.85","        183.35","        183.35","        186.00","        187.42","    8934855","          1674579134.95","      33750","    1992348","         22.30"
"BOMDYEING","EQ","27-Sep-2017","        186.00","        183.50","        192.70","        176.70","        176.70","        176.70","        181.62","    4405809","           800198492.20","      32402","     954693","         21.67"
"BOMDYEING","EQ","28-Sep-2017","        176.70","        176.00","        176.70","        167.90","        167.90","        167.90","        170.37","    6192097","          1054944347.65","      33872","    1627193","         26.28"
"BOMDYEING","EQ","29-Sep-2017","        167.90","        164.85","        176.25","        161.60","        176.25","        176.25","        172.25","    7193315","          1239020807.80","      35236","    1691670","         23.52"
"BOMDYEING","EQ","03-Oct-2017","        176.25","        181.90","        185.05","        176.00","        185.05","        185.05","        183.57","    5322461","           977068947.40","      21989","    1073181","         20.16"
"BOMDYEING","EQ","04-Oct-2017","        185.05","        175.80","        194.30","        175.80","        194.30","        194.30","        190.78","    4804195","           916558641.35","      11559","    1315925","         27.39"
"BOMDYEING","EQ","05-Oct-2017","        194.30","        204.00","        204.00","        201.10","        204.00","        204.00","        203.97","    1118173","           228072408.40","       2270","     629558","         56.30"
"BOMDYEING","EQ","06-Oct-2017","        204.00","        211.00","        214.20","        207.90","        214.20","        214.20","        212.77","    1690374","           359657544.05","       6636","     690589","         40.85"
"BOMDYEING","EQ","09-Oct-2017","        214.20","        223.00","        224.90","        221.10","        224.90","        224.90","        223.91","    1181310","           264511770.30","       4499","     691767","         58.56"
"BOMDYEING","EQ","10-Oct-2017","        224.90","        234.00","        236.10","        233.15","        236.10","        236.10","        235.51","     938557","           221036059.15","       2098","     631521","         67.29"
